"Parameter","df_robust","p_robust","F","df_std","p"
"lh_supramarginal_volume",2.72658325398602,0.098811904452028,2.2408851608374,2.72658325398602,0.098811904452028
"lh_frontalpole_volume",2.93463606533875,0,57.1505535408457,2.93463606533875,0
"lh_temporalpole_volume",1.00000044095721,0,140.102678301128,1.00000044095721,0
"lh_transversetemporal_volume",1.00000036646073,0.0210360039398022,5.32408853985466,1.00000036646073,0.0210360039398022
"lh_insula_volume",2.82326420285502,0.00132670870258766,5.63344300008732,2.82326420285502,0.00132670870258766
"lh_bankssts_area",2.01254367601377,0.00106177955020281,6.45399136882871,2.01254367601377,0.00106177955020281
"lh_caudalanteriorcingulate_area",2.97483411983817,0,109.719125871533,2.97483411983817,0
"lh_caudalmiddlefrontal_area",2.88683616298344,0,19.4515701928377,2.88683616298344,0
"lh_cuneus_area",1.00000048746849,0.110238236016332,2.55087963577715,1.00000048746849,0.110238236016332
"lh_entorhinal_area",2.95875077696981,0,45.2869043844215,2.95875077696981,0
"lh_fusiform_area",2.99999999999996,9.55865056593793e-13,19.6803863622669,2.99999999999996,9.55865056593793e-13
"lh_inferiorparietal_area",1.56104826131283,0.000108401305584316,9.11943655193936,1.56104826131283,0.000108401305584316
"lh_inferiortemporal_area",2.95181903748651,0,129.866708966712,2.95181903748651,0
"lh_isthmuscingulate_area",1.6925027019196,0,50.9775416364099,1.6925027019196,0
"lh_lateraloccipital_area",2.8328654211081,0,128.291581063491,2.8328654211081,0
"lh_lateralorbitofrontal_area",2.23673362345532,0.00919004882468111,4.4967832931371,2.23673362345532,0.00919004882468111
"lh_lingual_area",1.00000099871183,0,30.6698126299904,1.00000099871183,0
"lh_medialorbitofrontal_area",1.00000040036743,0,60.0706206268512,1.00000040036743,0
"lh_middletemporal_area",2.31741633462824,0,38.491754757675,2.31741633462824,0
"lh_parahippocampal_area",2.85359298177517,0,56.3484210870339,2.85359298177517,0
"lh_paracentral_area",1.87064039012067,0.157328145213062,1.74349899594514,1.87064039012067,0.157328145213062
"lh_parsopercularis_area",2.810787170345,0,19.4655251589245,2.810787170345,0
"lh_parsorbitalis_area",2.82604182376184,0.000274099217936696,6.01124508716551,2.82604182376184,0.000274099217936696
"lh_parstriangularis_area",2.82332929429516,-7.83219835653881e-08,11.6218769870202,2.82332929429516,-7.83219835653881e-08
"lh_pericalcarine_area",1.82475085966794,0,57.8890068711848,1.82475085966794,0
"lh_postcentral_area",2.75824827519277,0.00048582280253906,5.92085037933792,2.75824827519277,0.00048582280253906
"lh_posteriorcingulate_area",1.19738452222039,2.63373532594091e-07,22.1991358912192,1.19738452222039,2.63373532594091e-07
"lh_precentral_area",2.84104754941065,0,115.324928516594,2.84104754941065,0
"lh_precuneus_area",1.0000021792475,0.379792318499478,0.77138819025791,1.0000021792475,0.379792318499478
"lh_rostralanteriorcingulate_area",3.00000000000047,0,22.8981040537718,3.00000000000047,0
"lh_rostralmiddlefrontal_area",2.83853140923677,0,21.7907854309016,2.83853140923677,0
"lh_superiorfrontal_area",2.78069347216678,0,21.96873746875,2.78069347216678,0
"lh_superiorparietal_area",2.72252625931074,0,14.9699718066828,2.72252625931074,0
"lh_superiortemporal_area",1.3526550301673,0,30.9264016937662,1.3526550301673,0
"lh_supramarginal_area",2.16229857806421,0.0320249890888681,2.9418970302665,2.16229857806421,0.0320249890888681
"lh_frontalpole_area",2.94763599195318,0,25.8763080718518,2.94763599195318,0
"lh_temporalpole_area",1.1952753207976,0,55.4205900877148,1.1952753207976,0
"lh_transversetemporal_area",2.61325486212538,0.00130210368659467,5.68813568939743,2.61325486212538,0.00130210368659467
"lh_insula_area",2.99602786327412,0,21.8170444369377,2.99602786327412,0
"rh_bankssts_thickness",2.72087966811795,2.32383472276165e-06,10.5305018749203,2.72087966811795,2.32383472276165e-06
"rh_caudalanteriorcingulate_thickness",2.90814277675414,0,73.655456226954,2.90814277675414,0
"rh_caudalmiddlefrontal_thickness",2.79009864937872,0,49.460588587828,2.79009864937872,0
"rh_cuneus_thickness",1.00000124097554,0.710541049695733,0.13773934837881,1.00000124097554,0.710541049695733
"rh_entorhinal_thickness",1.00000105864,0.00197362015815422,9.57467201327275,1.00000105864,0.00197362015815422
"rh_fusiform_thickness",2.23372888440738,0,31.5710449021951,2.23372888440738,0
"rh_inferiorparietal_thickness",2.91605654125161,0,21.2785241467282,2.91605654125161,0
"rh_inferiortemporal_thickness",2.92754672402365,0,22.0227767299522,2.92754672402365,0
"rh_isthmuscingulate_thickness",2.94685930911933,0,25.1568789753909,2.94685930911933,0
"rh_lateraloccipital_thickness",2.84044229730391,0,42.8334942111491,2.84044229730391,0
"rh_lateralorbitofrontal_thickness",2.75948406477524,0,18.3929728494775,2.75948406477524,0
"rh_lingual_thickness",2.94202965502328,0,49.4963647619865,2.94202965502328,0
"rh_medialorbitofrontal_thickness",2.23130182870879,5.27978403884743e-05,9.02359325955959,2.23130182870879,5.27978403884743e-05
"rh_middletemporal_thickness",2.74172004773039,0,15.9334000839014,2.74172004773039,0
"rh_parahippocampal_thickness",2.97403501605472,0,15.6400214549319,2.97403501605472,0
"rh_paracentral_thickness",1.92711608904217,0,19.0935678590601,1.92711608904217,0
"rh_parsopercularis_thickness",2.92659720527169,0,20.8013974214722,2.92659720527169,0
"rh_parsorbitalis_thickness",2.22106328098002,0,30.739905022373,2.22106328098002,0
"rh_parstriangularis_thickness",2.93599092057316,0,69.6057163420457,2.93599092057316,0
"rh_pericalcarine_thickness",1.17682649208787,0,467.200162533999,1.17682649208787,0
"rh_postcentral_thickness",2.75924845575773,1.52853942508857e-06,9.69719390391792,2.75924845575773,1.52853942508857e-06
"rh_posteriorcingulate_thickness",1.3766976215052,0.691370468996092,0.207916798902153,1.3766976215052,0.691370468996092
"rh_precentral_thickness",2.64766294033532,0,96.6534858909592,2.64766294033532,0
"rh_precuneus_thickness",2.51269553952018,1.41212268864876e-05,9.53007449072846,2.51269553952018,1.41212268864876e-05
"rh_rostralanteriorcingulate_thickness",2.21679620314541,0,38.6174631722153,2.21679620314541,0
"rh_rostralmiddlefrontal_thickness",2.83942207392696,0,13.3738438519235,2.83942207392696,0
"rh_superiorfrontal_thickness",2.86380635459199,0,19.7682016354136,2.86380635459199,0
"rh_superiorparietal_thickness",2.5628437392711,0,31.0806883610623,2.5628437392711,0
